original,primary,status
blentech corporation,blentech,curated
$bls production co., inc.$,bls production,curated
blsck mountain sand,black mountain,curated
blue chip oil inc,blue chip oil,curated
blue devil exploration llc,blue devil exploration,curated
blue dolphin,blue dolphin,curated
$blue dolphin production, llc$,blue dolphin,curated
blue ox partners,blue ox partners,curated
blue ox partners llc,blue ox partners,curated
$blue quail , ltd$,blue quail,curated
blue ribbon,blue ribbon,curated
blue ribbon tachnology,blue ribbon,curated
blue ribbon technologies,blue ribbon,curated
blue ribbon technology,blue ribbon,curated
blue ridge mountain resources,blue ridge mountain resources,curated
blue water resources,blue water,curated
$blue water resources, llc$,blue water,curated
blue water tpx operating,blue water,curated
$blue water tpx operating co., llc$,blue water,curated
bluecrest alaska operating llc,bluecrest alaska operating,curated
bluefin,bluefin,curated
bluefin resources llc,bluefin,curated
blueribbon,blue ribbon,curated
blueribbontechnology,blue ribbon,curated
bluescape resources,bluescape resources,curated
bluestem,bluestem,curated
bluestem energy,bluestem,curated
$bluestem energy holdings, llc$,bluestem,curated
bluestone,bluestone,curated
bluestone natural res.,bluestone,curated
bluestone natural resources,bluestone,curated
$blx, inc.$,blx,curated
bmc,bmc,curated
bmr,bmr,curated
bmr ii,bmr,curated
bnk petroleum,bnk petroleum,curated
bnk petroleum (us) inc,bnk petroleum,curated
bnk petroleum (us) inc.,bnk petroleum,curated
boaz,boaz,curated
boaz energy,boaz,curated
$boaz energy ii operating, llc$,boaz,curated
$boaz energy, llc.$,boaz,curated
bobcat,bobcat,curated
bobeaux trucking,bobeaux trucking,curated
$bold energy lii, llc$,bold energy,curated
$bold energy, llc$,bold energy,curated
$bold operating, llc$,bold operating,curated
$bonanza creek energy, inc.$,bonanza creek energy,curated
$bopco, lp$,bopco,curated
boque,bosque,curated
borate crosslinker,not a company,curated
borderline operating corp,borderline operating corp,curated
boscque,bosque,curated
bosque,bosque,curated
bosque chemical solutions,bosque,curated
bosque disposal systems,bosque,curated
bosque disposal systems llc,bosque,curated
$bosque disposal systems, llc$,bosque,curated
bosque services,bosque,curated
$bosque services, llc$,bosque,curated
bosque solutions,bosque,curated
bosque system,bosque,curated
$bosque system, llc$,bosque,curated
bosque systems,bosque,curated
bosque systems llc,bosque,curated
$bosque systems, llc$,bosque,curated
$bosque systems, llc.$,bosque,curated
bosque systmes,bosque,curated
bosque/oxychem,bosque,curated
$bowles energy, inc.$,bowles energy,curated
bp,bp,curated
bp america,bp,curated
bp america production company,bp,curated
bps jet,bps,curated
bps oil and gas,bps,curated
bpx,bpx,curated
bpx operating company,bpx,curated
bpx operating company (bp america production co.),bpx,curated
br-fr,br-fr,curated
brahman resource partners llc,brahman resource partners,curated
$brahman resource partners, llc$,brahman resource partners,curated
brainaed,brainerd,curated
brainard,brainerd,curated
brainerd,brainerd,curated
brainerd chemical,brainerd,curated
braka,braka,curated
$braka operating, llc$,braka,curated
brammer engineering,brammer engineering,curated
$brammer engineering, inc.$,brammer engineering,curated
bratco operating company,bratco operating company,curated
bravo arkoma llc,bravo,curated
bravo arkoma llc-tulsa,bravo,curated
$bravo natural gas, llc$,bravo,curated
bravo natural resources,bravo,curated
bravo natural resources-tulsa,bravo,curated
brazos river exploration llc,brazos river exploration llc,curated
break fluid,not a company,curated
breaker,not a company,curated
breakers and breaker catalysts,not a company,curated
$breanntag southwest, inc$,brenntag,curated
breck operating corp.,breck operating corp,curated
breck operating corporation,breck operating corp,curated
breitburn,breitburn,curated
breitburn operating lp,breitburn,curated
breitling operating corp.,breitling,curated
breitling operating corporation,breitling,curated
brenatag,brenntag,curated
brenntag,brenntag,curated
brenntag / coastal chemical co llc,brenntag,curated
brenntag mid-south inc.,brenntag,curated
brenntag pacific inc,brenntag,curated
brenntag pacific inc.,brenntag,curated
$brenntag pacific, inc.$,brenntag,curated
brenntag southwest,brenntag,curated
brenntag southwest inc,brenntag,curated
brenntag southwest inc.,brenntag,curated
$brenntag southwest, inc$,brenntag,curated
$brenntag southwest, inc.$,brenntag,curated
$brenntag southwest,inc$,brenntag,curated
brenntag southwest. inc,brenntag,curated
$brenntag southwst, inc.$,brenntag,curated
brenntag-onecor,brenntag,curated
brenntag/ coastal chemical,brenntag,curated
brenntag/coastal chemical co llc,brenntag,curated
$brenntag/coastal chemical co., llc$,brenntag,curated
brennttag,brenntag,curated
brentag,brenntag,curated
brentagg,brenntag,curated
bretagg southwest,brenntag,curated
brg,brg,curated
brg lone star,brg,curated
brg lone star ltd,brg,curated
brg petroleum,brg,curated
brg petroleum llc,brg,curated
bridon energy llc,bridon energy,curated
bridwell oil company,bridwell oil company,curated
brigadier,brigadier,curated
$brigadier opearting, llc$,brigadier,curated
brigadier operating llc,brigadier,curated
$brigadier operating, llc$,brigadier,curated
$brigham oil & gas, l.p.$,brigham,curated
$brigham oil &amp; gas, l.p.$,brigham,curated
brigham resources,brigham,curated
$brigham resources operating, llc$,brigham,curated
bright horizon resources,bright horizon resources,curated
brix operating llc,brix operating,curated
broad oak,broad oak,curated
broad oak energy ii llc,broad oak,curated
brooks range petroleum corporation,brooks range petroleum corporation,curated
brown oil & gas,brown oil & gas,curated
$brown, george r partnership, lp, the$,$brown, george r partnership$,curated
browning oil,browning oil,curated
$browning oil company, inc.$,browning oil,curated
brt,brt,curated
$bruin e&p operating, llc$,bruin e&p operating,curated
bryan henderson co,bryan henderson co,curated
bsc fluids,bsc fluids,curated
bsker hughes,baker,curated
bta,bta,curated
bta  oil producers,bta,curated
bta oil,bta,curated
bta oil producers,bta,curated
bta oil producers llc,bta,curated
btlt 100%,ambiguous,curated
btlt water well,ambiguous,curated
btt,ambiguous,curated
buck laborities,buckman laboratories,curated
buckeye oil producing company,buckeye oil producing company,curated
buckman lab,buckman laboratories,curated
buckman lab.,buckman laboratories,curated
buckman laboratories,buckman laboratories,curated
buckman laboratories inc,buckman laboratories,curated
buckman laborities,buckman laboratories,curated
buckman laboritories,buckman laboratories,curated
buckman tech.,buckman laboratories,curated
buffco,buffco,curated
buffco production,buffco,curated
buffco production inc,buffco,curated
$buffco production, inc$,buffco,curated
$buffco production, inc.$,buffco,curated
$buffco production,inc$,buffco,curated
bule ribbon,blue ribbon,curated
bulk acid,not a company,curated
bulldog operating company,bulldog operating company,curated
$bullet development, llc$,bullet,curated
bullet production services,bullet,curated
$burk royalty co., ltd.$,burk royalty,curated
burk-gunn oil company,burk-gunn oil company,curated
$burleson petroleum, inc.$,burleson petroleum.,curated
$burnett oil co., inc.$,burnett oil,curated
bush's,bush's,curated
butch's,butch's,curated
$butkin oil company, llc$,butkin oil company,curated
$butler petroleum, llc$,butler petroleum,curated
bvx operating inc.,bvx operating,curated
bwa,bwa water additives,curated
bwa  water additives,bwa water additives,curated
bwa additives,bwa water additives,curated
bwa water,bwa water additives,curated
bwa water aadditives,bwa water additives,curated
bwa water adadditives,bwa water additives,curated
bwa water addatives,bwa water additives,curated
bwa water addictives,bwa water additives,curated
bwa water addiotives,bwa water additives,curated
bwa water additive,bwa water additives,curated
bwa water additive us llc,bwa water additives,curated
bwa water additives,bwa water additives,curated
$bwa water additives
bwa water additives$,bwa water additives,curated
$bwa water additives
halliburton energy services
halliburton energy services$,bwa water additives,curated
bwa water additives llc,bwa water additives,curated
bwa water additives us,bwa water additives,curated
bwa water additives us llc,bwa water additives,curated
bwa water additives us llv,bwa water additives,curated
bwa water additives us llx,bwa water additives,curated
$bwa water additives us, llc$,bwa water additives,curated
bwa water additives usa,bwa water additives,curated
$bwa water additives, llc$,bwa water additives,curated
bwa water additivie,bwa water additives,curated
bwa water addittives,bwa water additives,curated
bwa water additves,bwa water additives,curated
bwa water additvies,bwa water additives,curated
bwa water analysis,bwa water additives,curated
bwa water water additives,bwa water additives,curated
bwa watter additives,bwa water additives,curated
bws water additives,bwa water additives,curated
c,ambiguous,curated
c  j,c&j,curated
c  j  energry services inc.,c&j,curated
c  j  energy services,c&j,curated
c  j energy services,c&j,curated
c  j energy services inc,c&j,curated
$c  j energy services, inc.$,c&j,curated
$c & c productions, llc$,c & c productions,curated
c & j,c&j,curated
c & j energy,c&j,curated
c and j,c&j,curated
c and j (nabors),c&j,curated
c and j energy services,c&j,curated
c and j services,c&j,curated
c andj energy services,c&j,curated
c j energy services,c&j,curated
c j well services,c&j,curated
c.,ambiguous,curated
$c. e. harmon oil, inc.$,c. e. harmon oil,curated
c&j,c&j,curated
c&j energy,c&j,curated
c&j energy servicees,c&j,curated
c&j energy services,c&j,curated
c&j spec-rent services inc (cjes),c&j,curated
c&j trucks,c&j,curated
c&j well services,c&j,curated
c1611663,not a company,curated
c6 operating,c6 operating,curated
$c6 operating, llc$,c6 operating,curated
cabot,cabot,curated
cabot o & g,cabot,curated
cabot o&g,cabot,curated
cabot oil & gas,cabot,curated
cabot oil & gas corp,cabot,curated
cabot oil & gas corporation,cabot,curated
cabot oil &amp; gas corp,cabot,curated
cabot oil and gas,cabot,curated
cabot oil and gas corp.,cabot,curated
cadre,cadre,curated
cadre proppant,cadre,curated
cadre proppants,cadre,curated
caelus energy,caelus energy,curated
caerus,caerus,curated
caerus oil and gas llc,caerus,curated
caf,caf,curated
cage,cage,curated
$caird operating, llc$,caird operating,curated
cal chlor,cal chlor,curated
cal frac well services,calfrac,curated
calcium chloride,not a company,curated
caldwell,caldwell,curated
calfrac,calfrac,curated
calfrac & range resources,calfrac,curated
calfrac well,calfrac,curated
calfrac well services,calfrac,curated
calfrac well services corp.,calfrac,curated
calfrac well services ltd.,calfrac,curated
california drilling fluids,california drilling fluids,curated
california resources corporation,california resources corporation,curated
callon,callon,curated
callon petroleum,callon,curated
callon petroleum operating company,callon,curated
calyx,calyx,curated
$calyx energy iii, llc$,calyx,curated
$calyx energy, llc$,calyx,curated
cambrian,cambrian,curated
cambrian management,cambrian,curated
$cambrian management, ltd$,cambrian,curated
camino,camino,curated
$camino natural resources, llc$,camino,curated
campbell oil & gas. inc,campbell oil & gas,curated
campion,champion,curated
$canan mowrey operating, llc$,canan,curated
$canan operating, inc.$,canan,curated
cand j energy services,c&j,curated
canrig,canrig,curated
$cantera energy, llc$,cantera,curated
cantera operating llc,cantera,curated
$canyon creek energy operating, llc$,canyon creek energy operating,curated
cap energy,cap energy,curated
capital sand permian,capital sand permian,curated
capital sand permian llc,capital sand permian,curated
capitan energy inc,capitan energy,curated
capstone,capstone,curated
capstone n. r.,capstone,curated
capstone natural resources,capstone,curated
$capstone natural resources ii, llc$,capstone,curated
